,count,Random,MostPop,UserKNN,ItemKNN,UserKNN with means,BPR,MF,PMF,NMF,WMF,HPF,NeuMF,VAECF
729,0.23166666666666666,1,97,10,18,8,74,21,9,26,45,41,53,55
2783,0.23,3,80,1,23,2,80,16,2,7,15,29,57,54
955,0.229,0,82,26,26,21,72,29,6,19,25,28,44,44
2034,0.229,2,75,39,27,37,89,24,34,23,37,36,81,55
171,0.22866666666666666,4,85,3,15,8,73,25,4,10,26,24,71,43
2514,0.22733333333333333,2,88,5,21,5,96,16,9,16,30,46,75,84
949,0.227,4,91,42,30,37,91,22,28,28,36,54,88,72
168,0.22666666666666666,2,91,37,39,36,81,21,62,54,31,66,69,62
950,0.22433333333333333,0,93,45,36,50,96,35,81,42,39,56,94,70
624,0.22433333333333333,3,80,3,16,1,69,16,2,7,10,17,70,37
933,0.22433333333333333,1,81,14,21,25,85,20,14,17,33,46,82,52
680,0.223,6,77,39,22,36,76,15,82,27,45,65,15,60
1014,0.223,1,76,13,11,13,84,15,40,27,52,56,74,58
1680,0.22233333333333333,6,85,36,23,50,109,19,134,61,53,72,76,75
957,0.22166666666666668,2,99,20,34,28,89,31,43,20,37,63,84,61
176,0.221,3,64,4,14,8,60,17,8,11,26,44,71,62
96,0.221,1,96,25,26,26,97,33,17,22,26,38,100,62
195,0.21966666666666668,2,75,21,26,21,99,28,23,20,35,45,70,69
164,0.21933333333333332,2,71,41,24,31,69,20,5,39,21,66,55,60
636,0.218,1,73,6,16,5,71,20,9,8,23,40,57,41
1628,0.21766666666666667,2,76,9,15,10,85,21,2,11,54,51,51,67
3357,0.21733333333333332,7,77,10,38,9,89,30,15,22,38,48,89,66
997,0.217,3,70,38,14,25,58,16,13,19,8,39,48,43
673,0.21666666666666667,3,79,9,22,12,96,24,8,16,47,57,97,70
682,0.216,3,67,19,32,22,82,29,7,24,34,47,61,71
406,0.21466666666666667,2,80,4,23,4,76,18,10,12,16,49,65,66
113,0.21466666666666667,1,63,12,25,15,49,28,12,20,41,43,52,45
618,0.21433333333333332,4,63,6,18,8,68,25,1,9,30,29,65,53
2785,0.214,3,67,38,22,28,57,15,29,25,17,42,50,49
1647,0.21266666666666667,3,66,56,18,56,78,15,72,38,43,56,71,44
580,0.21233333333333335,4,57,63,31,59,51,15,79,52,9,70,50,56
3129,0.21066666666666667,3,60,12,14,14,63,19,9,8,37,41,66,47
