movie,count,Random,MostPop,UserKNN,ItemKNN,UserKNN with means,BPR,MF,PMF,NMF,WMF,HPF,NeuMF,VAECF
515,0.2337748344370861,8,0,0,27,1,0,63,32,0,0,143,7,15
148,0.23178807947019867,11,0,0,6,0,73,7,2,0,0,138,29,43
788,0.22996688741721855,11,0,0,12,0,9,45,86,0,0,530,269,475
105,0.22880794701986754,16,0,0,36,0,2,4,0,0,0,252,236,165
538,0.22880794701986754,16,0,0,5,0,0,12,0,0,0,65,0,0
155,0.22798013245033114,3,0,0,4,0,1,16,15,0,0,69,0,76
499,0.227317880794702,10,0,0,25,0,1,6,0,0,0,358,28,256
290,0.22698675496688742,10,0,0,19,0,4,96,78,0,0,75,258,64
512,0.22632450331125828,12,0,0,2,0,0,0,1,0,0,1,0,36
611,0.22632450331125828,6,0,0,92,0,30,48,835,22,1310,97,68,96
221,0.22549668874172185,5,0,0,3,0,0,8,1,0,0,20,0,172
145,0.22450331125827813,7,0,0,9,0,0,2,0,0,0,0,0,22
437,0.2240066225165563,11,0,0,14,0,0,3,3,0,0,200,9,115
7,0.223841059602649,6,0,0,29,1,0,79,10,0,0,113,0,0
33,0.22367549668874173,10,0,0,19,0,0,6,5,0,0,269,6,254
385,0.222682119205298,15,0,0,7,0,0,0,0,0,0,28,7,161
755,0.22201986754966888,9,0,0,42,0,0,9,2,0,0,0,3,49
195,0.22185430463576158,12,0,0,3,0,0,11,33,0,0,222,51,157
766,0.2208609271523179,11,0,0,20,0,195,48,55,1,0,319,863,453
305,0.22036423841059602,9,0,0,7,0,2,36,12,0,0,10,13,90
41,0.22019867549668873,4,0,0,17,0,0,5,10,1,0,39,0,0
531,0.22003311258278146,10,0,0,35,0,0,21,2,0,0,272,0,34
183,0.2195364238410596,10,0,0,22,0,0,4,0,0,0,171,0,46
321,0.21771523178807947,3,0,0,58,1,79,7,8,0,128,399,171,313
3,0.21771523178807947,9,0,0,7,0,1,7,0,0,0,288,371,207
741,0.2173841059602649,6,0,0,5,0,0,63,13,0,0,61,0,60
541,0.2173841059602649,9,0,0,2,0,0,19,6,0,0,40,0,46
528,0.21688741721854304,15,0,0,7,0,0,10,20,0,0,87,247,46
214,0.21473509933774834,9,0,0,9,0,1,13,3,0,0,2,388,102
243,0.21009933774834438,7,0,0,10,0,0,99,93,0,0,52,0,5
1158,0.20910596026490066,14,0,0,48,0,0,35,80,0,0,146,0,142
174,0.20877483443708608,9,0,0,27,0,53,17,8,1,1,318,147,255
336,0.20844370860927153,9,0,0,29,0,0,72,172,1,0,19,0,93
86,0.2077814569536424,5,0,0,1,0,23,0,1,0,0,11,0,53
1228,0.2076158940397351,17,0,0,59,0,0,1,0,0,0,22,0,58
39,0.20711920529801325,12,0,0,11,0,0,12,44,0,0,0,7,0
406,0.2052980132450331,11,0,0,6,0,0,96,224,0,0,299,0,26
486,0.2052980132450331,14,0,0,56,0,0,19,12,0,2,294,0,121
790,0.20480132450331126,4,0,0,10,0,0,196,36,0,0,323,1,373
603,0.20413907284768212,8,0,0,7,0,0,59,1,0,0,2,0,141
382,0.20413907284768212,8,0,0,13,0,0,0,0,0,0,63,8,221
1106,0.203476821192053,6,0,0,10,0,0,2,0,0,0,139,17,69
1018,0.203476821192053,16,0,0,6,0,0,5,1,0,0,0,52,47
994,0.203476821192053,15,0,0,53,0,0,64,295,0,0,68,2,13
85,0.20231788079470198,10,0,0,8,0,0,74,438,0,0,1,0,6
586,0.20231788079470198,12,0,0,3,0,0,0,0,0,0,47,2,5
350,0.20198675496688742,6,0,0,59,1,0,15,17,0,0,98,9,1
175,0.19983443708609272,11,0,0,36,0,0,81,75,0,0,0,0,0
335,0.19950331125827814,5,0,0,21,0,0,22,6,0,0,102,0,54
176,0.19850993377483445,13,0,0,11,0,0,8,1,0,0,2,1,0
600,0.19751655629139073,17,0,0,25,1,0,9,78,0,0,6,2,21
559,0.19619205298013245,8,0,0,49,0,128,53,58,0,521,474,201,402
514,0.19519867549668873,9,0,0,5,0,0,1,2,0,0,6,0,1
529,0.19486754966887418,8,0,0,27,0,0,2,0,0,0,18,0,9
1466,0.1947019867549669,13,0,0,55,4,0,57,233,14,0,30,0,71
424,0.1925496688741722,8,0,0,1,0,0,0,0,0,0,0,1,103
775,0.1925496688741722,11,0,0,1,0,0,11,15,0,0,8,0,17
748,0.1923841059602649,11,0,0,5,0,1,13,10,0,0,2,4,48
20,0.19172185430463576,8,0,0,5,0,0,0,0,0,0,36,0,0
